person_id,request_sec,pickup_datetime,edge_id,origin_zone,dest_category,x,y,latitude,longitude,pickup_sec,wait_sec,taxi_id,status
dyn_pax_1,11.0,2026-09-07 09:00:11,1229817205#0,company|subway_entrance|bus_stop,company,599.2457558679199,652.2907550986157,37.497417346160496,127.02760695963683,102.0,91.0,taxi_32,picked
dyn_pax_2,11.0,2026-09-07 09:00:11,-129731717#1,residential|company|restaurant,,188.433090102474,1374.3511058470413,37.503844200149025,127.0227905913032,69.0,58.0,taxi_42,picked
dyn_pax_3,12.0,2026-09-07 09:00:12,417933646#0,restaurant,,894.2617302193242,410.3206078764906,37.49529326349135,127.03099977850056,89.0,77.0,taxi_respawn_10,picked
dyn_pax_4,13.0,2026-09-07 09:00:13,218877837#2,company|restaurant|bus_stop,company,479.4555212141038,978.0213907550284,37.500328997763305,127.02617530290202,77.0,64.0,taxi_5,picked
dyn_pax_5,16.0,2026-09-07 09:00:16,521766175#3,company|restaurant|subway_entrance|bus_stop,company,373.6701172395771,1298.610217621072,37.50319695740621,127.02490310718325,77.0,61.0,taxi_18,picked
dyn_pax_6,18.0,2026-09-07 09:00:18,129731859#7,restaurant,,1027.2096381836107,997.5648919281483,37.50060841330955,127.03236404697942,,,,timeout
dyn_pax_7,20.0,2026-09-07 09:00:20,-506191135#2,residential|bus_stop,company,236.19733776439384,769.6838415951818,37.49840622577806,127.02347432089968,71.0,51.0,taxi_respawn_1,picked
dyn_pax_8,20.0,2026-09-07 09:00:20,521770119#0,restaurant|bus_stop,,548.9831206778387,935.1148840516827,37.4999556205417,127.02697161236954,110.0,90.0,taxi_47,picked
dyn_pax_9,21.0,2026-09-07 09:00:21,417933642#0,restaurant|bus_stop,company,1041.0954363710525,463.30841921497654,37.49579826441859,127.03264736696761,101.0,80.0,taxi_8,picked
dyn_pax_10,24.0,2026-09-07 09:00:24,1376141183#0,bus_stop,company,548.2528111146681,901.2117688498424,37.49965007283687,127.02697139402301,111.0,87.0,taxi_6,picked
dyn_pax_11,25.0,2026-09-07 09:00:25,239954074#0,company|restaurant,,429.7181373520864,1403.414988136971,37.50415166837821,127.02551198233628,,,,timeout
dyn_pax_12,27.0,2026-09-07 09:00:27,218873820#0,restaurant|subway_entrance|bus_stop,company,628.9829311132032,562.4061665928522,37.49661325243901,127.02796447999128,107.0,80.0,taxi_2,picked
dyn_pax_13,28.0,2026-09-07 09:00:28,-417933642#1,restaurant,,972.7851169931362,629.1778231901285,37.49727960321316,127.03183581048214,,,,timeout
dyn_pax_14,33.0,2026-09-07 09:00:33,975332778#1,bus_stop,company,681.6099970732737,721.9380561808346,37.49806030190971,127.02852170075586,114.0,81.0,taxi_25,picked
dyn_pax_15,35.0,2026-09-07 09:00:35,-542367267#1,bus_stop,company,247.51018316686128,1414.7184918773391,37.504219024473855,127.02344900430944,97.0,62.0,taxi_45,picked
dyn_pax_16,38.0,2026-09-07 09:00:38,-417933645#2,company|restaurant|subway_entrance,company,701.1658676593129,719.5455833044954,37.49804244093877,127.02874337560036,153.0,115.0,taxi_respawn_13,picked
dyn_pax_17,40.0,2026-09-07 09:00:40,-504509918#2,company|restaurant|bus_stop,company,398.9694242295193,827.4758220967593,37.49895762305832,127.02530099003066,110.0,70.0,taxi_15,picked
dyn_pax_18,41.0,2026-09-07 09:00:41,1117538957#3,restaurant|subway_entrance|bus_stop,company,465.5082521847807,644.8780924026132,37.49732530507706,127.02609663221197,71.0,30.0,taxi_34,picked
dyn_pax_19,42.0,2026-09-07 09:00:42,521766175#3,company|restaurant|subway_entrance|bus_stop,company,373.6701172395771,1298.610217621072,37.50319695740621,127.02490310718325,76.0,34.0,taxi_31,picked
dyn_pax_20,44.0,2026-09-07 09:00:44,218873820#0,restaurant|subway_entrance|bus_stop,company,628.9829311132032,562.4061665928522,37.49661325243901,127.02796447999128,112.0,68.0,taxi_22,picked
dyn_pax_21,45.0,2026-09-07 09:00:45,417933646#2,residential|restaurant,,830.3119525357222,594.5819430897021,37.496941093289735,127.0302331440542,134.0,89.0,taxi_respawn_21,picked
dyn_pax_22,52.0,2026-09-07 09:00:52,218873820#0,restaurant|subway_entrance|bus_stop,company,628.9829311132032,562.4061665928522,37.49661325243901,127.02796447999128,80.0,28.0,taxi_20,picked
