person_id,request_sec,pickup_datetime,edge_id,origin_zone,dest_category,x,y,latitude,longitude,pickup_sec,wait_sec,taxi_id,status
dyn_pax_1,5.0,2026-09-07 09:00:05,523141074#0,company|restaurant|subway_entrance,,524.0338794858329,871.4890157117229,37.4993777454413,127.02670460634431,141.0,136.0,taxi_47,picked
dyn_pax_2,8.0,2026-09-07 09:00:08,218864491#0,restaurant|bus_stop,,769.9803916976219,760.1217113917903,37.49842094941813,127.02951181742357,124.0,116.0,taxi_respawn_17,picked
dyn_pax_3,9.0,2026-09-07 09:00:09,1117538957#3,restaurant|subway_entrance|bus_stop,,465.5082521847807,644.8780924026132,37.49732530507706,127.02609663221197,21.0,12.0,taxi_39,picked
dyn_pax_4,14.0,2026-09-07 09:00:14,178441450#1,residential|company|restaurant|bus_stop,,282.90243066757296,609.4157395563556,37.496971320837204,127.02404044855805,98.0,84.0,taxi_16,picked
dyn_pax_5,18.0,2026-09-07 09:00:18,-417933645#2,company|restaurant|subway_entrance,,701.1658676593129,719.5455833044954,37.49804244093877,127.02874337560036,159.0,141.0,taxi_respawn_32,picked
dyn_pax_6,21.0,2026-09-07 09:00:21,521770116#2,company|restaurant|bus_stop,,432.3182248087171,1108.514093563608,37.50149560521279,127.02561136613096,128.0,107.0,taxi_11,picked
dyn_pax_7,26.0,2026-09-07 09:00:26,521766175#1,company|restaurant|subway_entrance,,332.9365590021661,1411.5585828157227,37.504206724109,127.02441570308932,38.0,12.0,taxi_23,picked
dyn_pax_8,29.0,2026-09-07 09:00:29,506191135#3,residential|company|restaurant|bus_stop,,238.79972345576414,789.4714057742513,37.49858497042428,127.023499044737,37.0,8.0,taxi_respawn_19,picked
dyn_pax_9,30.0,2026-09-07 09:00:30,218857636#1,residential|company|restaurant|bus_stop,,297.92905089287035,623.2061345250047,37.49709839153085,127.02420706961871,51.0,21.0,taxi_15,picked
dyn_pax_10,32.0,2026-09-07 09:00:32,542367267#1,company|restaurant,,199.26981683313872,1381.121508122661,37.50390724154084,127.02291151664822,35.0,3.0,taxi_36,picked
dyn_pax_11,34.0,2026-09-07 09:00:34,-504509918#2,company|restaurant|bus_stop,,398.9694242295193,827.4758220967593,37.49895762305832,127.02530099003066,96.0,62.0,taxi_5,picked
